epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.64196,1.66281,3.75597,1.92376,0.37954,0.70014,0.46053,0.18118,1.80212,5.96971,2.92409,0,0,0
2,9.25799,1.29881,3.96381,1.78036,0.45024,0.82119,0.49991,0.19583,1.76792,5.8218,2.81093,1.9604e-05,1.9604e-05,1.9604e-05
3,13.8857,1.26505,2.66155,1.64752,0.44845,0.58172,0.53758,0.2538,1.57451,5.62172,2.4811,3.8416e-05,3.8416e-05,3.8416e-05
4,18.3863,1.32892,2.48184,1.67207,0.87518,0.57143,0.75393,0.37799,1.15516,5.94755,2.01146,5.6436e-05,5.6436e-05,5.6436e-05
5,23.4537,1.15332,2.04155,1.632,0.96981,0.71429,0.89318,0.5986,0.89366,6.31184,1.63906,7.3664e-05,7.3664e-05,7.3664e-05
6,29.125,1.04985,2.11438,1.81543,1,0.9633,0.995,0.68655,0.87944,7.41927,1.60102,9.01e-05,9.01e-05,9.01e-05
7,34.6628,0.78233,1.4663,1.21537,1,0.98829,0.995,0.71041,0.90784,7.54164,1.54913,0.000105744,0.000105744,0.000105744
8,39.2441,0.93163,1.30822,1.31085,0.80914,0.85714,0.913,0.65745,0.86982,7.65937,1.41585,0.000120596,0.000120596,0.000120596
9,44.4412,0.82921,1.49656,1.32129,0.87127,0.97016,0.9775,0.69543,0.8712,8.32594,1.44633,0.000134656,0.000134656,0.000134656
10,50.4464,0.66278,1.26692,1.18074,1,0.97485,0.995,0.77289,0.90898,7.4223,1.54756,0.000147924,0.000147924,0.000147924
11,56.6073,0.57918,1.00197,1.09623,0.94642,1,0.995,0.79958,0.8036,5.82657,1.43916,0.0001604,0.0001604,0.0001604
12,62.6105,0.85742,1.50777,1.28491,0.93577,1,0.995,0.8089,0.72896,4.5478,1.32518,0.000172084,0.000172084,0.000172084
13,68.6215,0.75062,1.41093,1.22227,0.93484,1,0.995,0.82213,0.67819,4.15141,1.24804,0.000182976,0.000182976,0.000182976
14,74.5245,0.70087,1.32598,1.25999,0.92442,1,0.995,0.85355,0.63939,3.55085,1.22338,0.000193076,0.000193076,0.000193076
15,80.0118,0.5935,1.29056,1.10202,0.85504,0.85714,0.953,0.84336,0.65933,2.84096,1.36106,0.000202384,0.000202384,0.000202384
16,85.2758,0.62739,0.97072,1.23131,0.86013,1,0.995,0.81525,0.73728,2.69489,1.51741,0.0002109,0.0002109,0.0002109
17,90.6207,0.47963,1.00972,1.13841,0.91067,1,0.995,0.77201,0.74385,3.08065,1.49038,0.000218624,0.000218624,0.000218624
18,95.8454,0.57332,0.88615,1.15857,0.91067,1,0.995,0.77201,0.74385,3.08065,1.49038,0.000225556,0.000225556,0.000225556
19,101.315,0.7731,0.99538,1.2112,0.97917,1,0.995,0.87379,0.53736,2.733,1.1561,0.000231696,0.000231696,0.000231696
20,106.8,0.6523,1.04223,1.21287,0.97917,1,0.995,0.87379,0.53736,2.733,1.1561,0.000237044,0.000237044,0.000237044
21,112.436,0.63638,0.81721,1.10111,0.98854,1,0.995,0.92006,0.43157,2.83329,0.99827,0.0002416,0.0002416,0.0002416
22,117.899,0.62823,0.92207,1.10278,0.98854,1,0.995,0.92006,0.43157,2.83329,0.99827,0.000245364,0.000245364,0.000245364
23,123.444,0.56553,1.10731,1.14812,0.98715,1,0.995,0.90658,0.43633,2.44824,0.9971,0.000248336,0.000248336,0.000248336
24,128.847,0.49123,0.82646,1.05811,0.98715,1,0.995,0.90658,0.43633,2.44824,0.9971,0.000250516,0.000250516,0.000250516
25,134.294,0.61564,0.84323,1.13153,0.99016,1,0.995,0.88317,0.5426,2.27388,1.12062,0.000251904,0.000251904,0.000251904
26,139.53,0.43849,0.63901,0.97016,0.99016,1,0.995,0.88317,0.5426,2.27388,1.12062,0.0002525,0.0002525,0.0002525
27,144.927,0.49363,0.875,1.06221,0.98331,1,0.995,0.7862,0.7413,2.67218,1.48829,0.000252304,0.000252304,0.000252304
28,150.162,0.68047,0.80442,1.17992,0.98331,1,0.995,0.7862,0.7413,2.67218,1.48829,0.000251316,0.000251316,0.000251316
29,155.53,0.59509,0.75939,1.0966,0.93472,1,0.995,0.84011,0.71242,2.66561,1.43548,0.000249536,0.000249536,0.000249536
30,160.762,0.56538,0.65099,1.07271,0.93472,1,0.995,0.84011,0.71242,2.66561,1.43548,0.000246964,0.000246964,0.000246964
31,166.102,0.49041,0.69609,1.0107,0.97239,1,0.995,0.92404,0.52462,2.23808,1.08999,0.0002436,0.0002436,0.0002436
32,171.433,0.64863,0.65001,1.19198,0.97239,1,0.995,0.92404,0.52462,2.23808,1.08999,0.000239444,0.000239444,0.000239444
33,176.836,0.60644,0.65947,1.02521,0.91247,1,0.995,0.91494,0.46478,1.84239,1.0331,0.000234496,0.000234496,0.000234496
34,181.904,0.63341,0.61536,1.13532,0.91247,1,0.995,0.91494,0.46478,1.84239,1.0331,0.000228756,0.000228756,0.000228756
35,187.375,0.5956,0.95846,1.18039,0.96332,1,0.995,0.79471,0.53664,1.74299,1.12179,0.000222224,0.000222224,0.000222224
36,191.62,0.46767,0.66335,1.03886,0.96332,1,0.995,0.79471,0.53664,1.74299,1.12179,0.0002149,0.0002149,0.0002149
37,196.094,0.35223,0.52176,0.96617,0.99134,1,0.995,0.82024,0.5124,1.37109,1.09249,0.000206784,0.000206784,0.000206784
38,200.99,0.43259,0.70309,1.03395,0.99134,1,0.995,0.82024,0.5124,1.37109,1.09249,0.000197876,0.000197876,0.000197876
39,206.445,0.70137,0.92569,1.20704,0.99142,1,0.995,0.89946,0.4462,1.05296,1.02585,0.000188176,0.000188176,0.000188176
40,211.658,0.53378,0.73183,1.03806,0.99142,1,0.995,0.89946,0.4462,1.05296,1.02585,0.000177684,0.000177684,0.000177684
41,216.982,0.38156,0.95145,1.02606,0.98957,1,0.995,0.89381,0.43106,0.94662,0.97704,0.0001664,0.0001664,0.0001664
42,222.26,0.52511,1.01114,1.21137,0.98957,1,0.995,0.89381,0.43106,0.94662,0.97704,0.000154324,0.000154324,0.000154324
43,227.635,0.32648,0.87829,0.89097,0.98392,1,0.995,0.90437,0.45645,0.99084,1.00124,0.000141456,0.000141456,0.000141456
44,232.967,0.33083,0.76713,0.98125,0.98392,1,0.995,0.90437,0.45645,0.99084,1.00124,0.000127796,0.000127796,0.000127796
45,238.399,0.32988,0.77043,1.03537,0.99036,1,0.995,0.9094,0.46309,1.03158,1.04176,0.000113344,0.000113344,0.000113344
46,243.753,0.37379,0.77909,1.11934,0.99036,1,0.995,0.9094,0.46309,1.03158,1.04176,9.81e-05,9.81e-05,9.81e-05
47,248.468,0.31822,0.7938,0.93922,0.99029,1,0.995,0.89081,0.44422,1.04987,1.02784,8.2064e-05,8.2064e-05,8.2064e-05
48,252.555,0.25189,0.65859,0.99062,0.99029,1,0.995,0.89081,0.44422,1.04987,1.02784,6.5236e-05,6.5236e-05,6.5236e-05
